Date,Close
1997-07-02,8996.7
1997-07-03,9027.6
1997-07-04,9192.5
1997-07-07,9322.8
1997-07-08,9305.2
1997-07-09,9362.6
1997-07-10,9429.7
1997-07-11,9394.6
1997-07-14,9593.5
1997-07-15,9555.9
1997-07-16,9544.5
1997-07-17,9571.8
1997-07-18,9677.4
1997-07-21,9833.7
1997-07-22,9550.4
1997-07-23,9381.0
1997-07-24,9632.4
1997-07-25,9808.9
1997-07-28,9923.0
1997-07-29,9892.3
1997-07-30,9942.8
1997-07-31,10066.3
1997-08-01,10001.5
1997-08-04,10065.7
1997-08-05,9919.6
1997-08-06,9861.4
1997-08-07,9840.8
1997-08-08,9923.8
1997-08-11,9897.2
1997-08-12,9807.7
1997-08-13,9556.1
1997-08-14,9632.3
1997-08-15,9770.8
1997-08-19,9712.4
1997-08-20,9855.1
1997-08-21,10025.1
1997-08-22,10020.5
1997-08-25,10011.4
1997-08-26,10116.8
1997-08-27,10050.6
1997-08-28,9827.5
1997-09-01,9505.0
1997-09-02,9211.6
1997-09-03,9460.7
1997-09-04,9147.8
1997-09-05,9290.4
1997-09-08,9149.3
1997-09-09,9079.3
1997-09-10,9145.1
1997-09-11,9115.1
1997-09-12,9155.2
1997-09-15,8932.0
1997-09-17,9087.5
1997-09-18,9141.3
1997-09-19,9243.7
1997-09-22,9221.0
1997-09-23,9073.7
1997-09-24,8994.0
1997-09-25,8791.8
1997-09-26,8719.0
1997-09-30,8708.8
1997-10-01,8695.0
1997-10-02,8504.6
1997-10-03,8537.1
1997-10-06,8392.6
1997-10-07,8221.3
1997-10-08,8255.8
1997-10-09,8461.8
1997-10-13,8463.1
1997-10-14,8429.3
1997-10-15,8262.4
1997-10-16,7997.8
1997-10-17,7832.1
1997-10-20,7316.8
1997-10-21,7734.0
1997-10-22,7692.4
1997-10-23,7825.0
1997-10-24,7719.0
1997-10-27,7662.5
1997-10-28,7210.0
1997-10-29,7089.5
1997-10-30,7313.4
1997-11-03,7646.3
1997-11-04,7785.3
1997-11-05,7864.2
1997-11-06,8076.7
1997-11-07,7860.1
1997-11-10,7767.1
1997-11-11,7712.1
1997-11-13,7554.9
1997-11-14,7482.9
1997-11-17,7690.5
1997-11-18,7644.9
1997-11-19,7705.4
1997-11-20,7693.3
1997-11-21,7773.3
1997-11-24,7756.2
1997-11-25,7759.9
1997-11-26,7698.2
1997-11-27,7762.1
1997-11-28,7797.2
1997-12-01,7400.6
1997-12-02,7679.5
1997-12-03,7902.5
1997-12-04,8050.1
1997-12-05,8166.8
1997-12-08,8402.1
1997-12-09,8333.5
1997-12-10,8503.5
1997-12-11,8270.5
1997-12-12,8398.2
1997-12-15,8241.5
1997-12-16,8193.6
1997-12-17,8347.2
1997-12-18,8255.0
1997-12-19,8092.5
1997-12-22,8104.0
1997-12-23,8038.3
1997-12-24,8075.0
1997-12-26,8132.5
1997-12-29,8076.6
1997-12-30,8145.7
1997-12-31,8187.2
1998-01-05,8028.6
1998-01-06,7966.1
1998-01-07,7835.5
1998-01-08,7778.1
1998-01-09,7737.2
1998-01-12,7375.1
1998-01-13,7513.2
1998-01-14,7798.2
1998-01-15,7770.7
1998-01-16,7799.1
